id;norte;este;cota;lat;lng
UVT1;865305.07;1060642.376;972.137;3.37806194;-76.53199694
UVT2;865214.763;106072329;971.614;3.37724483;-76.53126936
GPS1;865137.467;1060062.329;979.833;3.37654950;-76.53721731
GPS2;865256.446;1060202.454;976.656;3.37762464;-76.53595578
GPS3;865275.428;1060491.453;972.927;3.37779472;-76.53335518
UVT3;864889.575;1060723.583;971.841;3.37430417;-76.53126850
UVT4;864734.815;1060642.303;972.81;3.37290514;-76.53200075
UVT5;864660.672;1060809.163;971.251;3.37223372;-76.53049969
UVT6;864452.986;1060856.651;970.793;3.37035536;-76.53007353
UVT7;864558.239;1060478.563;976.227;3.37130925;-76.53347509
UVT8;864588.885;1060303.414;977.45;3.37158733;-76.53505095
UVT9;864862.127;1060390.134;975.957;3.37405781;-76.53426914
UVT10;864904.227;1060163.384;978.603;3.37443975;-76.53630925
UVT11;864973.139;1060431.527;975.839;3.37506144;-76.53389606
UVT12;864966.167;1060602.983;972.222;3.37499744;-76.53235328
UVT13;865085.748;1060580.424;973.247;3.37607894;-76.53255561
